,Mean,StdDev,5%,95%,ESS_bulk,ESS_tail,R_hat
alpha_std[65],0.678745,0.0150484,0.654181,0.703228,6352.81,6747.06,1.00043
alpha_std[66],1.05654,0.0159468,1.03051,1.08283,7252.21,6711.69,0.999937
alpha_std[67],0.578541,0.0151465,0.553398,0.603382,6987.56,6092.38,1.00195
alpha_std[68],0.559637,0.0149515,0.535326,0.583959,6346.5,5971.3,1.00031
alpha_std[69],0.0531442,0.0151197,0.0285036,0.0776987,6473.25,5470.83,1.00063
alpha_std[70],-0.125158,0.0149821,-0.150007,-0.100466,7219.73,5675.49,1.00027
alpha_std[71],0.339531,0.014956,0.31518,0.364599,7066.93,5475.71,1.00028
alpha_std[72],1.03376,0.0161544,1.00695,1.06035,6484.26,5987.69,1.0002
alpha_std[73],0.923291,0.0158418,0.897102,0.949169,7131.35,6647.79,0.999938
alpha_std[74],1.02747,0.0159006,1.00123,1.05377,6842.44,6713.43,1.00054
alpha_std[75],0.562757,0.0149511,0.538296,0.587744,6288.71,4965.59,1.00043
alpha_std[76],0.530715,0.0149904,0.50574,0.555512,6405.71,5180.91,1.0003
alpha_std[77],0.600424,0.0151262,0.575129,0.624889,6703.13,5854.51,0.99995
alpha_std[78],0.308288,0.0145694,0.284633,0.332337,5446.41,5829.1,1.00044
alpha_std[79],0.212721,0.01569,0.187168,0.238935,5847.53,4714.0,1.00017
