,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"beta_language_std[2,12]",-0.166817,0.000673557,0.0304128,0.0304437,-0.217066,-0.165621,-0.118484,2124.16,3177.21,1.00311
"beta_language_std[3,1]",0.156101,0.000237506,0.0291532,0.0284096,0.108137,0.156201,0.204121,15694.4,5585.31,1.00192
"beta_language_std[3,2]",0.0316647,0.000256285,0.0296423,0.0293093,-0.0167867,0.0312564,0.0809619,13565.1,5021.36,1.00025
"beta_language_std[3,3]",0.442563,0.000307959,0.0324619,0.032228,0.388103,0.442344,0.496778,11343.0,4830.8,1.00066
"beta_language_std[3,4]",0.0481454,0.000238947,0.030204,0.0303379,-0.00094975,0.0483889,0.0976606,16310.0,5564.36,1.00034
"beta_language_std[3,5]",0.286616,0.000263841,0.030627,0.0306565,0.236124,0.286452,0.337682,13806.9,5786.66,1.00032
"beta_language_std[3,6]",-0.324871,0.000328218,0.0396831,0.0388404,-0.390842,-0.32498,-0.259599,14746.6,5642.26,1.00163
"beta_language_std[3,7]",0.112667,0.000262992,0.0298324,0.0301799,0.0645051,0.112525,0.161741,13287.1,5218.04,1.00147
"beta_language_std[3,8]",0.103953,0.0002612,0.0303987,0.030486,0.0536044,0.103627,0.153562,13950.4,5139.82,0.999973
"beta_language_std[3,9]",-0.0477479,0.0002607,0.0302538,0.0298149,-0.0977181,-0.047985,0.00234899,13780.6,5041.03,1.00001
"beta_language_std[3,10]",-0.595256,0.000252404,0.02965,0.029755,-0.643587,-0.595652,-0.546231,13966.8,6170.14,1.00058
"beta_language_std[3,11]",-0.0865419,0.000222357,0.0257876,0.0252496,-0.129406,-0.0866169,-0.0443398,13663.1,5231.65,1.00022
"beta_language_std[3,12]",-0.127292,0.00167403,0.0623051,0.0543841,-0.223865,-0.130466,-0.0224482,1568.46,1362.84,1.00753
"beta_language_std[4,1]",0.17415,0.000225174,0.0284883,0.0286676,0.127467,0.173838,0.220932,16116.3,6326.06,1.00023
