,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"beta_language_std_unc[8,8]",-0.0239943,0.0270522,2.4081,2.22744,-3.83941,-0.0273918,3.69439,7924.87,7858.62,1.00005
"beta_language_std_unc[8,9]",-0.0202809,0.0271562,2.41552,2.23767,-3.91809,-0.00234739,3.86628,7902.72,7395.42,0.999931
"beta_language_std_unc[8,10]",-0.0434887,0.026897,2.32286,2.16844,-3.76503,-0.0321005,3.60343,7518.75,7591.84,0.999843
"beta_language_std_unc[8,11]",-0.00136618,0.02688,2.3935,2.17999,-3.76059,-0.00995968,3.73234,7926.97,6951.13,1.00033
"beta_language_std_unc[8,12]",-0.000169365,0.0283874,2.44091,2.25134,-3.89418,0.0243824,3.80186,7420.13,7850.31,1.00033
"beta_language_std_unc[9,1]",0.0218604,0.0274465,2.37869,2.15249,-3.78301,0.014024,3.82812,7576.38,7562.33,0.999784
"beta_language_std_unc[9,2]",-0.00880525,0.0274235,2.41424,2.19264,-3.8386,-0.00952162,3.80535,7912.63,8239.88,1.00051
"beta_language_std_unc[9,3]",-0.00828724,0.0268893,2.414,2.23944,-3.83496,0.00627459,3.78719,8045.5,7767.04,1.00012
"beta_language_std_unc[9,4]",0.00490987,0.0265285,2.35648,2.18101,-3.75866,0.0179891,3.78997,8021.11,7973.11,0.999952
"beta_language_std_unc[9,5]",-0.00226117,0.0272224,2.38987,2.20584,-3.87096,0.00987649,3.84371,7848.69,7526.07,1.0004
"beta_language_std_unc[9,6]",0.0252645,0.027005,2.37977,2.1686,-3.82157,0.0767348,3.73609,7769.66,7613.9,0.999851
"beta_language_std_unc[9,7]",0.0068685,0.0265451,2.40998,2.18952,-3.86002,0.0111231,3.78991,8257.73,7796.78,0.999939
"beta_language_std_unc[9,8]",-0.017053,0.0272329,2.37874,2.18076,-3.8154,-0.0112106,3.69926,7646.34,7705.23,0.999722
"beta_language_std_unc[9,9]",-0.00151257,0.0267061,2.39575,2.22119,-3.7367,-0.0205425,3.85442,8101.2,7857.54,1.00023
"beta_language_std_unc[9,10]",0.0158829,0.0271664,2.37757,2.20041,-3.73623,0.040188,3.80322,7695.86,7351.04,1.00032
"beta_language_std_unc[9,11]",-0.014555,0.026582,2.37213,2.21421,-3.74304,-0.0304476,3.81587,8008.0,7957.79,0.999952
"beta_language_std_unc[9,12]",-0.0127827,0.0275409,2.40847,2.21388,-3.84671,0.0104923,3.83315,7644.63,7808.64,1.00005
"beta_language_std_unc[10,1]",0.021329,0.0266246,2.36129,2.17613,-3.68761,0.0068122,3.85345,7920.48,7750.72,1.00026
"beta_language_std_unc[10,2]",-0.0168191,0.027209,2.44265,2.2401,-3.88916,-0.0173403,3.90426,8131.44,7808.21,1.00019
"beta_language_std_unc[10,3]",-0.0152104,0.0269996,2.42264,2.22567,-3.89409,0.00309149,3.80533,8095.28,7744.07,0.999943
"beta_language_std_unc[10,4]",-0.00282854,0.0268821,2.40743,2.18855,-3.8142,0.0192526,3.76026,7995.37,7436.66,1.00021
"beta_language_std_unc[10,5]",0.0314866,0.027237,2.41097,2.19499,-3.75135,0.00802287,3.88486,7809.7,7748.35,1.00021
